Locale Key	Facility Name	Address	City	State	ZIP Code	Area	District	NASS Code	Facility Type								
W22666	ABILENE	1020 E OVERLAND TRL	ABILENE	TX	796019997	Southern (G)	Ft Worth	795	Plant	 							
X20034	AKRON	675 WOLF LEDGES PKWY RM 114	AKRON	OH	443099997	Eastern (C)	Northern Ohio	442	Plant	 							
001343	ALAMOGORDO	930 12TH ST	ALAMOGORDO	NM	883106450	Western (E)	Arizona	883	Plant	 							
Z11013	ALAMOSA	505 3RD ST	ALAMOSA	CO	811019997	Western (E)	Colorado/Wyoming	811	Plant	 							
V11841	ALBANY	30 KARNER RD	ALBANY	NY	122889990	Northeast (B)	Albany	120	Plant	 							
X10018	ALBANY	1501 S SLAPPEY BLVD	ALBANY	GA	317019997	Southern (G)	Gulf Atlantic	317	Plant	 							
Z13503	ALBUQUERQUE	1135 BROADWAY BLVD NE	ALBUQUERQUE	NM	871010002	Western (E)	Arizona	870	Plant	 							
X16953	ALTOONA	140 PATCHWAY RD	DUNCANSVILLE	PA	166359997	Eastern (C)	Western Pennsylvania	166	Plant	 							
W22730	AMARILLO	2301 ROSS ST	AMARILLO	TX	791209732	Southern (G)	Ft Worth	790	Plant	 							
Z24277	ANAHEIM	5335 E LA PALMA AVE	ANAHEIM	CA	928999998	Pacific (F)	Santa Ana	928	Plant	 							
Z10013	ANCHORAGE	4141 POSTMARK DR	ANCHORAGE	AK	995301002	Western (E)	Alaska	995	Plant	 							
W21841	ARDMORE	208 1ST AVE SW	ARDMORE	OK	734016310	Southern (G)	Oklahoma	734	Plant	 							
Y14729	ASHEVILLE	591 BREVARD RD	ASHEVILLE	NC	288109880	Capital Metro (K)	Mid-Carolinas	287	Plant	 							
X10051	ATHENS	575 OLYMPIC DR	ATHENS	GA	306019909	Capital Metro (K)	Atlanta	306	Plant	 							
X29542	ATHENS	5 W STIMSON AVE	ATHENS	OH	457012668	Eastern (C)	Cincinnati	457	Plant	 							
X10054	ATLANTA	3900 CROWN RD SW	ATLANTA	GA	303049997	Capital Metro (K)	Atlanta	303	Plant	 							
X1D196	ATLANTA L&DC	2310 MAYNARD H JACKSON JR BLVD	ATLANTA	GA	303206005	Capital Metro (K)	Atlanta	ATL	Annex	 							
X10055	ATLANTA NDC	1800 JAMES JACKSON PKWY NW	ATLANTA	GA	303699998	Capital Metro (K)	Atlanta	30Z	NDC	 							
X10064	AUGUSTA	525 8TH ST	AUGUSTA	GA	309019997	Southern (G)	Gulf Atlantic	308	Plant	 							
W22814	AUSTIN	8225 CROSS PARK DR	AUSTIN	TX	787109997	Southern (G)	Rio Grande	786	Plant	 							
003573	AUSTIN ANNEX	9001 TUSCANY WAY	AUSTIN	TX	787100002	Southern (G)	Rio Grande	786PM	Annex	 							
Z20171	BAKERSFIELD	3400 PEGASUS DR	BAKERSFIELD	CA	933809000	Pacific (F)	Sierra Coastal	932	Plant	 							
V22931	BALTIMORE	900 E FAYETTE ST RM 505	BALTIMORE	MD	212339998	Capital Metro (K)	Baltimore	212	Plant	 							
Z17891	BARRIGADA	489 ARMY DR	BARRIGADA	GU	969139997	Pacific (F)	Honolulu	969	Plant	 							
Y23369	BATON ROUGE	8101 BLUEBONNET BLVD	BATON ROUGE	LA	708109998	Southern (G)	Louisiana	707	Plant	 							
W22885	BEAUMONT	5815 WALDEN RD	BEAUMONT	TX	777079995	Southern (G)	Houston	776	Plant	 							
Y24815	BEMIDJI	401 IRVINE AVE NW	BEMIDJI	MN	566012602	Western (E)	Northland	566	Plant	 							
Z14764	BEND	2300 NE 4TH ST	BEND	OR	977013630	Western (E)	Portland	977	Plant	 							
Z13044	BILLINGS	841 S 26TH ST	BILLINGS	MT	591014561	Western (E)	Dakotas	590	Plant	 							
Y10113	BIRMINGHAM	351 24TH ST N RM 210	BIRMINGHAM	AL	352039811	Southern (G)	Alabama	350	Plant	 							
003325	BIRMINGHAM ANNEX B	4500 1ST AVE S	BIRMINGHAM	AL	352222111	Southern (G)	Alabama	350AX	Annex	 							
W18762	BISMARCK	2220 E BISMARCK EXPY RM 212	BISMARCK	ND	585049990	Western (E)	Dakotas	585	Plant	 							
